"DataFlash Configuration Flag","Data Buffer Length"
8,7200
"Elapsed Time","FRONT","REAR","DIFF","TPS","RPM","Front Map","Rear Map"
0.000,4.73,4.74,-0.01,0.0,0,29.3,29.3
0.101,4.73,4.74,-0.01,0.0,0,29.3,29.3
0.200,4.73,4.74,-0.01,0.0,0,29.3,29.3
0.301,4.73,4.74,-0.01,0.0,0,29.3,29.3
0.502,4.73,4.74,-0.01,0.0,0,29.3,29.3
0.602,4.73,4.74,-0.01,0.0,0,29.3,29.3
0.703,4.73,4.74,-0.01,0.0,0,29.3,29.3
0.803,4.73,4.74,-0.01,0.0,0,29.3,29.3
0.903,4.73,4.74,-0.01,0.0,0,29.3,29.3
1.004,4.73,4.74,-0.01,0.0,0,29.3,29.3
1.103,4.73,4.74,-0.01,0.0,0,29.3,29.3
1.204,4.73,4.74,-0.01,0.0,0,29.3,29.3
1.305,4.73,4.74,-0.01,0.0,0,29.3,29.3
1.404,4.73,4.74,-0.01,0.0,0,29.3,29.3
1.505,4.73,4.74,-0.01,0.0,0,29.3,29.3
1.605,4.73,4.74,-0.01,0.0,0,29.3,29.3
1.706,4.73,4.74,-0.01,0.0,0,29.3,29.3
1.806,4.73,4.74,-0.01,0.0,0,29.3,29.3
1.906,4.73,4.74,-0.01,0.0,0,29.3,29.3
2.007,4.73,4.74,-0.01,0.0,0,29.3,29.3
2.107,4.73,4.74,-0.01,0.0,0,29.3,29.3
2.207,4.73,4.74,-0.01,0.0,0,29.3,29.3
2.308,4.73,4.73,-0.01,0.0,0,29.3,29.3
2.409,4.73,4.74,-0.01,0.0,0,29.3,29.3
2.508,4.73,4.73,-0.01,0.0,0,29.3,29.3
2.609,4.73,4.74,-0.01,0.0,0,29.3,29.3
2.709,4.73,4.74,-0.01,0.0,0,29.3,29.3
2.809,4.73,4.74,-0.01,0.0,0,29.3,29.3
2.910,4.73,4.74,-0.01,0.0,0,29.3,29.3
3.010,4.73,4.74,-0.01,0.0,0,29.3,29.3
3.110,4.73,4.73,-0.01,0.0,0,29.3,29.3
3.211,4.73,4.74,-0.01,0.0,0,29.3,29.3
3.311,4.65,4.55,0.00,0.0,0,29.3,29.3
3.411,3.90,3.48,0.30,0.0,1367,27.7,26.0
3.512,4.73,4.74,0.15,0.0,1367,28.1,27.3
3.613,4.13,3.97,-0.25,0.0,246,24.7,26.1
3.712,3.75,3.35,0.13,0.0,246,25.8,25.1
3.813,3.43,2.04,0.03,0.0,1190,23.5,23.3
3.914,3.58,1.53,-0.13,0.0,1047,22.4,23.1
4.013,3.25,2.71,0.05,0.0,1561,20.8,20.5
4.114,2.10,3.08,-0.13,0.0,1793,18.6,19.3
4.215,2.94,2.32,0.14,0.0,1775,18.0,17.2
4.315,2.04,3.05,-0.05,0.0,1847,17.0,17.2
4.415,2.92,2.35,0.16,0.0,1812,17.0,16.1
4.516,2.32,3.79,-0.06,0.0,1823,16.3,16.7
4.615,2.92,2.38,0.17,0.0,1780,16.7,15.7
4.716,2.26,3.71,-0.05,0.0,1782,16.2,16.5
4.816,2.91,2.32,0.19,0.0,1755,16.7,15.6
4.916,1.94,2.87,-0.02,0.0,1772,16.3,16.4
5.017,2.83,2.06,0.16,0.0,1786,16.7,15.8
5.116,1.52,2.86,0.00,0.0,1750,16.3,16.4
5.217,2.76,1.89,0.13,0.0,1798,16.5,15.8
5.318,1.31,2.85,0.00,0.0,1741,16.3,16.3
5.418,2.76,1.36,0.10,0.0,1756,16.5,15.9
5.518,1.09,2.94,0.06,0.0,1755,16.6,16.3
5.619,2.72,1.05,0.05,0.0,1766,16.3,16.1
5.719,1.31,2.99,0.09,0.0,1760,16.6,16.1
5.819,2.73,1.02,-0.02,0.0,1753,16.1,16.2
5.921,2.61,3.06,0.13,0.0,1729,16.6,15.9
6.020,2.73,1.89,-0.09,0.0,1755,15.9,16.4
6.121,3.02,2.60,0.13,0.0,1711,16.4,15.7
6.221,2.14,3.17,-0.09,0.0,1716,15.8,16.3
6.321,2.74,1.75,0.11,0.0,1675,16.3,15.7
6.422,1.33,3.07,0.07,0.0,1644,16.7,16.4
6.522,2.78,1.56,-0.07,0.0,1700,16.3,16.7
6.622,2.85,2.46,0.12,0.0,1644,16.6,16.0
6.723,1.39,2.85,-0.05,0.0,1635,16.3,16.6
6.823,2.69,1.16,0.05,0.0,1699,16.5,16.2
6.923,1.62,3.01,0.08,0.0,1710,16.7,16.2
7.023,2.80,2.22,-0.11,0.0,1640,16.0,16.6
7.124,2.78,2.20,0.11,0.0,1593,16.5,15.9
7.224,1.27,3.06,0.04,0.0,1576,16.8,16.6
7.325,2.85,2.16,-0.09,0.0,1623,16.5,17.0
7.425,2.77,2.23,0.12,0.0,1599,16.8,16.1
7.525,1.19,3.01,0.03,0.0,1589,16.8,16.6
7.626,2.90,2.37,-0.08,0.0,1581,16.5,17.0
7.726,2.76,2.02,0.12,0.0,1583,16.9,16.2
7.826,1.71,3.16,0.09,0.0,1565,17.1,16.6
7.927,2.47,4.04,-0.08,0.0,1610,16.5,16.9
8.026,2.81,1.19,0.10,0.0,1523,16.9,16.4
8.127,3.05,2.80,0.13,0.0,1507,17.1,16.4
8.228,1.47,2.80,-0.05,0.0,1578,16.6,16.9
8.327,2.84,1.18,-0.01,0.0,1584,16.8,16.8
8.428,2.85,2.54,0.12,0.0,1558,16.9,16.2
8.529,1.23,2.86,-0.02,0.0,1575,16.7,16.8
8.628,2.78,1.18,-0.02,0.0,1633,16.6,16.7
8.729,2.82,2.39,0.11,0.0,1526,16.8,16.2
8.830,1.17,2.84,-0.01,0.0,1626,16.6,16.7
8.929,2.81,1.29,-0.03,0.0,1630,16.5,16.7
9.030,2.78,2.36,0.12,1.1,1555,16.8,16.1
9.131,1.30,3.07,0.06,0.0,1515,17.0,16.6
9.230,2.73,3.67,-0.08,0.1,1553,16.6,17.0
9.331,2.72,1.63,0.14,0.0,1580,16.9,16.2
9.432,3.52,3.19,0.14,0.0,1532,17.2,16.5
9.531,1.88,2.74,-0.06,0.0,1560,16.4,16.8
9.632,2.80,1.08,0.03,0.0,1578,16.8,16.6
9.733,2.90,2.61,0.12,0.0,1539,17.0,16.3
9.833,1.24,2.84,-0.02,0.0,1577,16.7,16.8
9.933,2.91,1.63,-0.04,0.0,1562,16.7,16.9
10.034,2.77,2.15,0.14,0.0,1556,17.0,16.2
10.133,1.90,3.23,0.11,0.0,1539,17.3,16.7
10.234,2.23,2.89,-0.05,0.0,1573,16.7,17.0
10.335,2.87,1.11,0.07,0.0,1495,17.1,16.7
10.434,2.88,2.54,0.14,0.0,1513,17.2,16.5
10.535,1.19,2.91,0.02,0.0,1563,17.0,16.9
10.636,2.86,1.55,-0.03,0.0,1607,16.8,17.0
10.735,2.76,2.13,0.13,0.0,1561,17.0,16.2
10.836,1.26,3.00,0.07,0.0,1589,17.0,16.6
10.937,2.87,2.46,-0.07,0.0,1589,16.5,16.9
11.037,2.70,1.96,0.14,0.0,1611,16.8,16.0
11.137,2.38,3.23,0.13,0.0,1517,17.2,16.5
11.237,2.14,2.76,-0.06,0.0,1558,16.5,16.8
11.338,2.82,1.12,0.06,0.0,1543,16.9,16.6
11.438,2.87,2.47,0.13,0.7,1461,17.2,16.5
11.538,1.63,3.23,0.09,0.0,1502,17.5,17.0
11.639,2.24,2.83,-0.05,0.0,1527,17.0,17.2
11.739,2.89,1.13,0.06,0.0,1504,17.3,17.0
11.839,2.83,2.43,0.14,0.5,1478,17.3,16.6
11.940,1.52,3.19,0.09,0.0,1512,17.5,17.0
12.040,2.42,3.80,-0.05,0.0,1594,17.0,17.2
12.140,2.77,1.28,0.12,0.0,1565,17.2,16.5
12.241,4.29,3.02,0.14,0.0,1526,17.3,16.5
12.342,1.91,2.74,-0.07,0.0,1553,16.5,16.8
12.441,2.72,1.06,0.05,0.0,1646,16.8,16.5
12.542,2.94,2.68,0.11,0.0,1551,17.0,16.3
12.643,1.43,2.80,-0.05,0.0,1585,16.5,16.8
12.742,2.89,1.39,-0.02,0.0,1575,16.8,16.9
12.843,2.80,2.06,0.13,0.0,1481,17.1,16.4
12.943,2.59,3.31,0.13,0.0,1515,17.5,16.8
13.043,2.13,2.76,-0.06,0.0,1557,16.7,17.0
13.144,2.83,1.10,0.06,0.0,1553,17.1,16.7
13.244,2.90,2.59,0.13,0.0,1487,17.2,16.5
13.344,1.42,3.15,0.07,0.0,1481,17.4,17.1
13.445,2.47,3.73,-0.05,0.0,1498,16.9,17.2
13.546,2.76,1.30,0.13,0.0,1579,17.2,16.5
13.645,3.58,3.10,0.15,0.0,1614,17.4,16.5
13.847,2.73,1.27,0.09,0.0,1603,16.7,16.2
13.946,4.10,2.99,0.13,0.0,1566,17.0,16.3
14.047,2.05,2.71,-0.08,0.0,1632,16.3,16.7
14.148,2.77,1.16,0.06,0.0,1572,16.7,16.3
14.247,3.25,2.79,0.12,0.0,1549,16.9,16.3
14.348,1.28,2.94,-0.03,0.0,1481,16.8,16.9
14.447,2.98,1.84,-0.05,0.0,1538,16.8,17.1
14.548,2.77,2.18,0.14,0.0,1536,17.1,16.3
14.649,1.57,3.17,0.10,0.0,1544,17.3,16.8
14.749,2.42,3.83,-0.05,0.0,1588,16.7,17.0
14.849,2.83,1.17,0.11,0.0,1510,17.1,16.5
14.950,2.98,2.75,0.14,0.0,1509,17.3,16.5
15.050,1.30,2.83,-0.02,0.0,1576,16.8,17.0
15.151,2.81,1.24,-0.01,0.0,1612,16.8,16.9
15.251,2.80,2.46,0.12,0.0,1565,16.9,16.2
15.351,1.21,2.87,0.00,0.0,1594,16.6,16.6
15.451,2.87,1.70,-0.04,0.0,1593,16.6,16.9
15.552,2.75,2.18,0.13,0.0,1536,16.9,16.2
15.652,1.47,3.09,0.08,0.0,1573,17.1,16.6
15.752,2.51,4.07,-0.06,0.0,1586,16.6,16.9
15.853,2.83,1.22,0.10,0.0,1490,17.0,16.4
15.953,3.00,2.75,0.13,0.0,1550,17.2,16.5
16.053,1.41,2.80,-0.04,0.0,1562,16.7,17.0
16.154,2.82,1.16,0.00,0.0,1588,16.8,16.8
16.254,2.81,2.36,0.12,0.0,1483,17.0,16.3
16.355,1.53,3.18,0.08,0.0,1518,17.3,16.9
16.455,2.28,2.88,-0.05,0.0,1514,16.9,17.1
16.555,2.91,1.20,0.05,0.0,1493,17.3,17.0
16.655,2.82,2.36,0.14,0.0,1454,17.4,16.6
16.756,1.53,3.15,0.08,0.0,1539,17.5,17.1
16.856,2.38,3.61,-0.05,0.0,1571,16.9,17.2
16.956,2.79,1.21,0.11,0.0,1534,17.2,16.6
17.057,3.92,2.87,0.13,0.0,1552,17.3,16.5
17.157,1.41,2.84,-0.05,0.0,1535,16.7,17.0
17.257,2.94,1.40,-0.03,0.0,1522,16.9,17.0
17.358,2.79,2.27,0.13,0.0,1557,17.2,16.4
17.458,1.75,3.21,0.10,0.0,1506,17.4,16.9
17.559,2.77,3.27,-0.09,0.8,1608,16.6,17.1
17.658,2.69,1.94,0.13,0.0,1633,16.8,16.1
17.759,1.76,3.17,0.11,0.0,1562,17.1,16.5
17.860,2.41,3.77,-0.05,0.0,1567,16.6,16.9
17.959,2.81,1.16,0.10,0.0,1529,17.0,16.5
18.060,2.93,2.69,0.14,0.0,1463,17.2,16.5
18.161,1.29,3.08,0.05,0.0,1491,17.4,17.1
18.260,2.63,4.12,-0.06,0.0,1490,16.9,17.3
18.361,2.73,1.53,0.14,0.0,1600,17.2,16.4
18.462,4.10,3.08,0.14,0.0,1543,17.4,16.6
18.561,1.38,2.88,-0.03,0.0,1478,16.8,17.0
18.662,2.95,1.55,-0.03,0.0,1535,17.0,17.1
18.763,2.75,2.12,0.14,0.0,1529,17.2,16.4
18.862,3.72,3.30,0.14,0.0,1468,17.5,16.8
18.963,1.49,2.85,-0.04,0.0,1467,16.9,17.1
19.064,3.02,2.04,-0.04,0.0,1487,17.1,17.3
19.163,2.77,1.54,0.12,0.0,1482,17.3,16.7
19.264,3.39,2.80,0.11,0.0,1518,17.4,16.8
19.365,1.26,2.92,-0.02,0.0,1469,17.0,17.2
19.465,2.98,3.12,-0.07,0.0,1471,16.9,17.3
19.565,2.76,1.27,0.11,0.0,1485,17.2,16.6
19.666,2.89,2.65,0.13,0.0,1470,17.3,16.6
19.765,1.71,3.23,0.09,0.0,1413,17.5,17.0
19.866,2.13,2.73,-0.04,0.0,1503,16.9,17.1
19.967,2.93,1.29,0.02,0.0,1472,17.2,17.0
20.067,2.71,1.96,0.12,0.0,1454,17.3,16.6
20.167,3.57,2.92,0.11,0.0,1407,17.4,16.8
20.268,1.34,3.13,0.02,0.0,1389,17.3,17.2
20.368,2.25,2.72,-0.05,0.0,1464,16.9,17.2
20.468,2.92,1.29,0.02,0.0,1476,17.2,17.1
20.569,2.72,2.06,0.13,0.0,1461,17.3,16.6
20.668,3.11,2.85,0.11,0.0,1394,17.4,16.8
20.769,1.28,3.03,0.01,0.0,1434,17.3,17.2
20.869,2.33,2.83,-0.05,0.0,1430,16.9,17.2
20.970,2.87,1.20,0.05,0.0,1491,17.3,17.0
21.070,2.73,2.14,0.13,0.0,1454,17.3,16.6
21.170,3.22,3.31,0.13,0.1,1492,17.5,16.8
21.271,1.44,2.79,-0.03,0.0,1438,16.9,17.0
21.371,2.96,1.77,-0.03,0.0,1499,16.9,17.1
21.471,2.67,1.75,0.13,0.0,1494,17.1,16.4
21.572,3.52,2.86,0.12,0.0,1438,17.2,16.6
21.672,1.30,2.99,0.00,0.0,1444,17.0,17.0
21.772,2.27,2.76,-0.04,0.0,1464,16.9,17.1
21.873,2.92,1.33,0.03,0.0,1453,17.2,17.0
21.973,2.71,2.10,0.14,0.0,1477,17.3,16.5
